Parameter,68_lob,68_lob_upe,68_lob_loe,90_lob,90_lob_upe,90_lob_loe,99_lob,99_lob_upe,99_lob_loe,999_lob,999_lob_upe,999_lob_loe
c00,1931.3078863817532,0.0,0.0,5014.282901724889,0.0,0.0,96.04846991050663,0.0,0.0,8860.182021364464,0.0,0.0
c01,507.12240948225036,0.0,0.0,194.20687186610155,0.0,0.0,15.049424753513174,0.0,0.0,-90.7564511653321,0.0,0.0
c02,83.90740432922567,0.0,0.0,76.96400944363712,0.0,0.0,67.42590053270717,0.0,0.0,120.39192094521866,0.0,0.0
c03,3.7046568260458224,0.0,0.0,2.947622217337738,0.6238223178417273,0.6326765081957277,2.742491903062213,0.0,0.0,-0.0028891049073469697,0.0,0.0
c04,0.9082123085773706,0.07983627810459748,0.07986060090508973,0.5838010187862873,0.11130162646258757,0.10824573850155406,0.5739067890939589,0.1539626321921732,0.15429475714502028,1.1904132943789205,0.3009372790858933,0.2998651167978197
c05,-0.08987750186709337,0.009314134360299112,0.008766770042351824,-0.016362682990576524,0.015146695345710334,0.015814466461872966,0.09695176363296062,0.029651855382875847,0.029204227213299683,0.09192711463821482,0.059742436314380254,0.06089822384183126
c10,-1253.832909346506,0.0,0.0,-3194.3723027325236,0.0,0.0,-40.09155583649614,0.0,0.0,-5627.888016387711,0.0,0.0
c11,-261.0804636552146,0.0,0.0,-107.17446836757506,0.0,0.0,-21.81389609327166,0.0,0.0,19.492571319833974,0.0,0.0
c12,-32.36845159834248,0.0,0.0,-29.91334638070273,0.0,0.0,-26.44859718859064,0.0,0.0,-46.44363031176702,0.0,0.0
c13,-0.8781137369917313,0.008210116270512935,0.008190433167127309,-0.814006469608492,0.15718493966877967,0.1546323790231081,-0.9667897538678951,0.03457412652455205,0.03449837017876467,-0.5581823414132023,0.10852918804877149,0.10817299643715661
c14,-0.08556955991125,0.009894945585209994,0.010052645079017417,-0.059746941298379916,0.01338125584439899,0.013810102996621179,-0.10056522241647772,0.02037427339615705,0.020082626259116207,-0.18314188840994752,0.042039513636000114,0.04121404829115563
c20,326.25030144359675,0.0,0.0,814.8416586784429,0.0,0.0,8.511591389892828,0.0,0.0,1431.782163766494,0.0,0.0
c21,50.117274138194254,0.0,0.0,21.993347373980022,0.0,0.0,6.952343666676007,0.0,0.0,1.6007060139218308,0.0,0.0
c22,4.041911514309075,0.0036652660845994944,0.003649489271217554,3.7969868094288413,0.004296209809767859,0.0044366578545211866,3.425105818710108,0.005754057040502136,0.005546617331043002,5.9723205970343525,0.011665874609490423,0.011757089528400044
c23,0.05436759892363362,0.0009945831999995935,0.0009735614689286021,0.053999821272460655,0.009633710894397227,0.009754250048009547,0.07656286643507369,0.004518884212441801,0.004528057991284085,0.0708085424630696,0.014085028298853428,0.014159299000327738
c30,-41.72262265263197,0.0,0.0,-103.23912036216299,0.0,0.0,-0.543453894680112,0.0,0.0,-181.58606942002444,0.0,0.0
c31,-4.236076860386605,0.0,0.0,-1.9701391576117926,0.0,0.0,-0.8060220033468637,0.0,0.0,-0.575642836382193,0.0,0.0
c32,-0.16508698480850031,0.0004407217377254691,0.0004437120814822504,-0.15848243827974828,0.0005131583984553933,0.0004935439174590384,-0.1465794526128181,0.0006264544730558153,0.0006397098973597859,-0.2560461256490003,0.0014368362387062183,0.0014382892336840536
c40,2.6261396818970253,0.0,0.0,6.498571676195526,0.0,0.0,-0.01921374580056956,0.0,0.0,11.481332831260083,0.0,0.0
c41,0.13301198235586822,7.670250658176059e-06,7.529098645486787e-06,0.06505697066123695,8.007815184105094e-06,7.912410964830419e-06,0.03159095659564907,1.1265206404882655e-05,1.1540463533465939e-05,0.03155525761217506,1.9316834963513385e-05,1.886980071058586e-05
c50,-0.06518115152785038,0.0,0.0,-0.16265464823521478,1.2299980107211006e-06,1.2321205712373384e-06,0.002299652334447592,0.0,0.0,-0.2895632816189462,1.3787874765802677e-06,1.3518780900834138e-06
